strata,filter,class,value,labels,variable,var_long,facet_label
0,biomass,str,0.6567787528038025,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.07852356135845184,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.050433024764060974,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,1.611202597618103,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.19563743472099304,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,0.8476990461349487,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.050092920660972595,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,1.0414948463439941,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.4736998975276947,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.32730501890182495,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.12796331942081451,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,5.560266494750977,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.1076672151684761,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.24122416973114014,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.041457775980234146,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.8222914934158325,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.07605384290218353,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,1.7797573804855347,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,1.9070639610290527,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.5150940418243408,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.4082014858722687,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,3.1664133071899414,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.9070518016815186,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,0.5164963603019714,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.409255713224411,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.16456308960914612,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.04556293413043022,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.2363172471523285,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.08931314945220947,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,4.604292869567871,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,1.8714052438735962,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.5088597536087036,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.6146771907806396,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.7818576693534851,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,1.2616287469863892,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,1.1441724300384521,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,1.8411246538162231,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.22472263872623444,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.7693645358085632,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.09902215749025345,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.7999239563941956,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,4.225543022155762,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.7249186038970947,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.7977958917617798,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.376013845205307,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.3444274365901947,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.06204831227660179,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,3.546099901199341,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.904835045337677,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.010675000958144665,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.3107479214668274,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,0.018679171800613403,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.4124501943588257,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,4.256412982940674,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,1.0689191818237305,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.05479617416858673,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.03555941954255104,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,2.571230411529541,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.1574644148349762,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,0.7571325898170471,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.36322537064552307,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
0,complexity,str,0.13189010322093964,No Pressure (0),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
0,cover,str,0.39122340083122253,No Pressure (0),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
0,cum,dhi,1.1821284294128418,No Pressure (0),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
0,height,str,0.009685947559773922,No Pressure (0),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
0,var,dhi,1.3499782085418701,No Pressure (0),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
0,biomass,str,0.009912141598761082,No Pressure (0),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
